,代码,名称,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额
114,sh000131,上证高新,2190.443,-69.269,-3.065,2259.7116,2237.9901,2263.9166,2189.9767,10420168,34916999793
115,sh000132,上证100,6508.7681,3.135,0.048,6505.6335,6518.1337,6539.1592,6494.2317,9199658,20397801534
116,sh000133,上证150,5380.8403,-55.121,-1.014,5435.9612,5433.1208,5442.3156,5379.5067,8955966,17854697022
117,sh000134,上证银行,738.1566,5.333,0.728,732.8232,732.1535,741.3527,729.8831,18914504,11412642527
118,sh000135,180高贝,5629.3661,-44.263,-0.78,5673.6289,5664.7368,5673.4994,5620.9994,19454703,54687405081
119,sh000136,180低贝,11336.836,-40.453,-0.356,11377.289,11342.2108,11417.5653,11307.7851,63266400,61681852030
120,sh000137,380高贝,4991.5822,-64.001,-1.266,5055.5828,5050.5573,5053.0352,4989.7134,12582969,24392374103
121,sh000138,380低贝,6826.5631,29.121,0.428,6797.4426,6796.5305,6849.6073,6789.3419,21883793,22642966530
122,sh000139,上证转债,353.5022,-0.531,-0.15,354.0335,353.9603,354.192,353.2742,10992522,14961450274
123,sh000141,380动态,3767.5538,-32.401,-0.853,3799.9547,3795.6015,3797.4101,3766.7397,25074248,52052796304
124,sh000142,380稳定,8757.6687,3.042,0.035,8754.6271,8760.7859,8794.1678,8741.5425,35635103,40898964763
125,sh000145,优势资源,5367.5418,-33.654,-0.623,5401.1959,5396.6182,5445.3663,5352.3273,20945477,23983570910
126,sh000146,优势制造,7843.4397,-34.955,-0.444,7878.3949,7888.471,7891.6633,7836.6493,8909089,21199971321
127,sh000147,优势消费,8926.3365,80.258,0.907,8846.078,8834.0063,8943.1071,8781.5195,5796983,24037399492
128,sh000148,消费领先,9588.7455,5.25,0.055,9583.4959,9556.861,9636.7292,9523.9933,45414546,87854309551
129,sh000149,180红利,3245.9105,0.735,0.023,3245.1751,3242.4799,3259.1085,3234.044,29162376,22023249842
130,sh000150,380红利,11682.6138,61.364,0.528,11621.2493,11672.9702,11745.4182,11661.3059,6978456,5559020944
131,sh000151,上国红利,1462.3043,0.692,0.047,1461.6119,1461.499,1472.7671,1459.6808,18701139,11175598845
132,sh000152,上央红利,2319.3292,5.79,0.25,2313.5393,2311.3024,2329.5185,2308.6225,29184134,17754596500
133,sh000153,上民红利,3079.1447,-10.271,-0.332,3089.4157,3088.7765,3088.7765,3072.9134,2807198,2708348343
134,sh000155,市值百强,2826.3735,-4.848,-0.171,2831.2216,2823.0141,2837.5567,2817.4637,78297725,126133945288
135,sh000158,上证环保,1844.0223,-6.288,-0.34,1850.3102,1854.2232,1860.9227,1842.1276,9054344,15052847616
136,sh000159,沪股通,3218.4852,-11.762,-0.364,3230.2471,3223.7622,3234.4425,3211.5078,268801792,365511543860
137,sh000160,沪新丝路,1948.6542,-4.039,-0.207,1952.6935,1949.0461,1961.0879,1940.5673,52720539,42736919299
138,sh000161,沪中国造,1962.0556,-14.908,-0.754,1976.9635,1976.2654,1978.3782,1960.9912,25597310,60860630866
139,sh000162,沪互联+,3480.615,-32.743,-0.932,3513.3575,3501.1896,3530.5603,3479.7047,16696184,40412372976
140,sh000170,50AH优选,5105.7506,9.663,0.19,5096.0881,5077.8738,5115.8954,5060.5802,22348319,48171225502
141,sh000300,沪深300,4067.0034,-30.284,-0.739,4097.2876,4081.3871,4088.8809,4059.5744,148953474,286042434778
142,sh000682,科创信息,1291.1542,-48.584,-3.626,1339.7386,1327.5129,1335.0458,1289.7843,4275145,35142649343
143,sh000683,科创生物,1237.383,30.754,2.549,1206.6291,1207.6897,1244.767,1200.3527,1585663,8792983295
144,sh000687,科创高装,1187.9649,-17.366,-1.441,1205.331,1202.5959,1203.0477,1186.8877,1786609,6872105943
145,sh000688,科创50,1098.8774,-30.529,-2.703,1129.4062,1122.3706,1124.7093,1098.1183,20647268,100081600771
146,sh000689,科创材料,1268.3199,-19.42,-1.508,1287.7398,1287.2998,1287.2998,1267.7879,1445139,5653688981
147,sh000690,科创成长,1273.2617,-10.131,-0.789,1283.3925,1280.0394,1287.2237,1272.3823,2989565,16236962104
148,sh000692,科创新能,1964.5812,-2.946,-0.15,1967.5272,1972.6684,1986.6314,1949.3816,1706725,7058593902
149,sh000693,科创机械,1343.6159,-28.095,-2.048,1371.7108,1367.7552,1368.1458,1342.8394,1792362,6855124907
150,sh000695,科长三角,1067.2859,-13.992,-1.294,1081.2783,1078.4686,1082.4329,1066.3785,2837196,22222254788
151,sh000697,科大湾区,1126.1766,-36.955,-3.177,1163.1314,1159.6879,1160.0182,1125.7104,2009504,8681390187
152,sh000802,500沪市,6921.7823,-30.16,-0.434,6951.9425,6947.5127,6960.9901,6913.5854,75226401,84618891367
153,sh000819,有色金属,5769.368,-56.202,-0.965,5825.5697,5812.2958,5862.1612,5753.9699,18528719,28515840973
154,sh000823,800有色,6367.9659,-57.949,-0.902,6425.9154,6416.0354,6479.6139,6348.2634,17044230,24450496585
155,sh000827,中证环保,2015.97,-11.132,-0.549,2027.1017,2028.0024,2036.4222,2014.1791,20303500,41861968698
156,sh000847,腾讯济安,3041.695,-17.86,-0.584,3059.5552,3058.3125,3062.8339,3036.2675,45622701,57793528765
157,sh000849,300非银,8235.8477,-103.272,-1.238,8339.1197,8291.0708,8291.0708,8212.6871,11047474,17312139052
158,sh000851,百发100,14660.0381,1.243,0.008,14658.7952,14632.4497,14688.2365,14596.8213,16189699,34906446384
159,sh000852,中证1000,6961.4566,-59.56,-0.848,7021.0163,7011.6577,7029.104,6956.6755,173305447,240906966780
160,sh000853,CSSW丝路,1590.0747,-8.472,-0.53,1598.547,1592.8477,1597.5466,1586.607,27645296,56152190752
161,sh000854,500原料,4618.8136,-40.484,-0.869,4659.2981,4655.859,4670.7922,4611.2568,22827738,24119037233
