,基金代码,拼音缩写,基金简称,基金类型,拼音全称
3432,004972,CCSYBHBA,长城收益宝货币A,货币型,CHANGCHENGSHOUYIBAOHUOBIA
3433,004973,CCSYBHBB,长城收益宝货币B,货币型,CHANGCHENGSHOUYIBAOHUOBIB
3434,004975,JYHYLHPZHHA,交银恒益灵活配置混合A,混合型-灵活,JIAOYINHENGYILINGHUOPEIZHIHUNHEA
3435,004978,FGJLSGYDKZ,富国聚利三个月定开债,债券型-长债,FUGUOJULISANGEYUEDINGKAIZHAI
3436,004979,HXDNSGYDKZA,华夏鼎诺三个月定开债A,债券型-长债,HUAXIADINGNUOSANGEYUEDINGKAIZHAIA
3437,004980,HXDNSGYDKZC,华夏鼎诺三个月定开债C,债券型-长债,HUAXIADINGNUOSANGEYUEDINGKAIZHAIC
3438,004981,XHXRXZDZA,新华鑫日享中短债A,债券型-中短债,XINHUAXINRIXIANGZHONGDUANZHAIA
3439,004982,XHAXDYDKHH,新华安享多裕定开混合,混合型-灵活,XINHUAANXIANGDUOYUDINGKAIHUNHE
3440,004983,PYXJTLHBA,鹏扬现金通利货币A,货币型,PENGYANGXIANJINTONGLIHUOBIA
3441,004984,PYXJTLHBB,鹏扬现金通利货币B,货币型,PENGYANGXIANJINTONGLIHUOBIB
3442,004985,BSHJHB,博时合晶货币,货币型,BOSHIHEJINGHUOBI
3443,004986,PHCLHBHH,鹏华策略回报混合,混合型-灵活,PENGHUACELUEHUIBAOHUNHE
3444,004987,NDXXLHPZHH,诺德新享灵活配置混合,混合型-灵活,NUODEXINXIANGLINGHUOPEIZHIHUNHE
3445,004988,RBSLA,人保双利A,混合型-偏债,RENBAOSHUANGLIA
3446,004989,RBSLC,人保双利C,混合型-偏债,RENBAOSHUANGLIC
3447,004993,ZOKZZZQA,中欧可转债债券A,债券型-可转债,ZHONGOUKEZHUANZHAIZHAIQUANA
3448,004994,ZOKZZZQC,中欧可转债债券C,债券型-可转债,ZHONGOUKEZHUANZHAIZHAIQUANC
3449,004995,GFPPXFGPFQSA,广发品牌消费股票发起式A,股票型,GUANGFAPINPAIXIAOFEIGUPIAOFAQISHIA
3450,004996,GFHSZXGZSC,广发恒生中型股指数C,指数型-股票,GUANGFAHENGSHENGZHONGXINGGUZHISHUC
3451,004997,GFGDZZGPA,广发高端制造股票A,股票型,GUANGFAGAODUANZHIZAOGUPIAOA
3452,004998,CXQQZQRMB,长信全球债券人民币,QDII,CHANGXINQUANQIUZHAIQUANRENMINBI
3453,004999,CXQQZQMY,长信全球债券美元,QDII,CHANGXINQUANQIUZHAIQUANMEIYUAN
3454,005000,TKQLLHJZJXHHA,泰康泉林量化价值精选混合A,混合型-偏股,TAIKANGQUANLINLIANGHUAJIAZHIJINGXUANHUNHEA
3455,005001,JYCXCZZTHHA,交银持续成长主题混合A,混合型-偏股,JIAOYINCHIXUCHENGZHANGZHUTIHUNHEA
3456,005004,JYPZSJHHA,交银品质升级混合A,混合型-偏股,JIAOYINPINZHISHENGJIHUNHEA
3457,005005,ZJJZA,中金金泽A,混合型-偏股,ZHONGJINJINZEA
3458,005006,ZJJZC,中金金泽C,混合型-偏股,ZHONGJINJINZEC
3459,005008,DFHHYZQZ,东方红汇阳债券Z,债券型-混合债,DONGFANGHONGHUIYANGZHAIQUANZ
3460,005009,SWLXHYLDGPA,申万菱信行业轮动股票A,股票型,SHENWANLINGXINHANGYELUNDONGGUPIAOA
3461,005010,JYTRZDZA,金鹰添瑞中短债A,债券型-中短债,JINYINGTIANRUIZHONGDUANZHAIA
3462,005011,JYTRZDZC,金鹰添瑞中短债C,债券型-中短债,JINYINGTIANRUIZHONGDUANZHAIC
3463,005014,TKJTHBHHA,泰康景泰回报混合A,混合型-偏债,TAIKANGJINGTAIHUIBAOHUNHEA
3464,005015,TKJTHBHHC,泰康景泰回报混合C,混合型-偏债,TAIKANGJINGTAIHUIBAOHUNHEC
3465,005019,GTRYHT6GYZQ,国投瑞银和泰6个月债券,债券型-混合债,GUOTOURUIYINHETAI6GEYUEZHAIQUAN
3466,005020,XCZHJA,信诚智惠金A,货币型,XINCHENGZHIHUIJINA
3467,005024,NFXLDKZQ,南方兴利定开债券,债券型-长债,NANFANGXINGLIDINGKAIZHAIQUAN
3468,005025,JYFYSYZQC,交银丰盈收益债券C,债券型-长债,JIAOYINFENGYINGSHOUYIZHAIQUANC
3469,005027,GDDCLYXDKHH,光大多策略优选定开混合,混合型-灵活,GUANGDADUOCELUEYOUXUANDINGKAIHUNHE
3470,005028,PHYJJXLHPZHH,鹏华研究精选灵活配置混合,混合型-灵活,PENGHUAYANJIUJINGXUANLINGHUOPEIZHIHUNHE
3471,005029,ZYCYJXHHA,中银产业精选混合A,混合型-偏股,ZHONGYINCHANYEJINGXUANHUNHEA
3472,005030,ZYCYJXHHC,中银产业精选混合C,混合型-偏股,ZHONGYINCHANYEJINGXUANHUNHEC
3473,005037,YHXNYXCLA,银华新能源新材料A,股票型,YINHUAXINNENGYUANXINCAILIAOA
3474,005038,YHXNYXCLC,银华新能源新材料C,股票型,YINHUAXINNENGYUANXINCAILIAOC
3475,005039,PYJXHHA,鹏扬景兴混合A,混合型-偏债,PENGYANGJINGXINGHUNHEA
3476,005040,PYJXHHC,鹏扬景兴混合C,混合型-偏债,PENGYANGJINGXINGHUNHEC
3477,005041,RBYJJXHHA,人保研究精选混合A,混合型-偏股,RENBAOYANJIUJINGXUANHUNHEA
3478,005042,RBYJJXHHC,人保研究精选混合C,混合型-偏股,RENBAOYANJIUJINGXUANHUNHEC
3479,005043,GSABJKKXHHA,国寿安保健康科学混合A,混合型-偏股,GUOSHOUANBAOJIANKANGKEXUEHUNHEA
3480,005044,GSABJKKXHHC,国寿安保健康科学混合C,混合型-偏股,GUOSHOUANBAOJIANKANGKEXUEHUNHEC
3481,005047,NHRYCZA,南华瑞扬纯债A,债券型-长债,NANHUARUIYANGCHUNZHAIA
3482,005048,NHRYCZC,南华瑞扬纯债C,债券型-长债,NANHUARUIYANGCHUNZHAIC
3483,005049,CAXWJZHHA,长安鑫旺价值混合A,混合型-灵活,CHANGANXINWANGJIAZHIHUNHEA
3484,005050,CAXWJZHHC,长安鑫旺价值混合C,混合型-灵活,CHANGANXINWANGJIAZHIHUNHEC
3485,005051,STBPGGTDBHLZSA,上投标普港股通低波红利指数A,指数型-股票,SHANGTOUBIAOPUGANGGUTONGDIBOHONGLIZHISHUA
3486,005052,STBPGGTDBHLZSC,上投标普港股通低波红利指数C,指数型-股票,SHANGTOUBIAOPUGANGGUTONGDIBOHONGLIZHISHUC
3487,005053,YHLHJZHHA,银河量化价值混合A,混合型-偏股,YINHELIANGHUAJIAZHIHUNHEA
3488,005054,TKRKCZZQ,泰康瑞坤纯债债券,债券型-长债,TAIKANGRUIKUNCHUNZHAIZHAIQUAN
3489,005055,HTBRLHAEFA,华泰柏瑞量化阿尔法A,混合型-灵活,HUATAIBAIRUILIANGHUAAERFAA
3490,005056,DFHHBA,东方红货币A,货币型,DONGFANGHONGHUOBIA
3491,005057,DFHHBB,东方红货币B,货币型,DONGFANGHONGHUOBIB
3492,005058,DFHHBE,东方红货币E,货币型,DONGFANGHONGHUOBIE
3493,005059,NFAFHHA,南方安福混合A,混合型-偏债,NANFANGANFUHUNHEA
3494,005062,BSZZ500ZSZQA,博时中证500指数增强A,指数型-股票,BOSHIZHONGZHENG500ZHISHUZENGQIANGA
3495,005063,GFZZQZJYDQETFLJA,广发中证全指家用电器ETF联接A,指数型-股票,GUANGFAZHONGZHENGQUANZHIJIAYONGDIANQIETFLIANJIEA
3496,005064,GFZZQZJYDQETFLJC,广发中证全指家用电器ETF联接C,指数型-股票,GUANGFAZHONGZHENGQUANZHIJIAYONGDIANQIETFLIANJIEC
3497,005065,ZJXJGJC,中金现金管家C,货币型,ZHONGJINXIANJINGUANJIAC
